Player;Runs ;NO;Min ;BF ;4s;6s;SR;INNs;Opp;Ground ;Date;
Sikandar Raza (ZIM);10;0;26;17;0;0;58.82;2;v India;Harare;17-Jul-15;
DJ Bravo (WI);10;0;10;5;1;1;200;2;v South Africa;Johannesburg;11-Jan-15;
Umar Akmal (PAK);10;0;17;14;1;0;71.42;2;v New Zealand;Dubai (DSC);05-Dec-14;
Ahmed Shehzad (PAK);10;0;26;20;2;0;50;1;v Australia;Dubai (DSC);05-Oct-14;
JC Buttler (ENG);10;0;17;15;0;0;66.66;1;v India;Birmingham;07-Sep-14;
DJG Sammy (WI);10;0;9;3;1;1;333.33;1;v New Zealand;Roseau;06-Jul-14;
DJG Sammy (WI);10;0;7;4;1;1;250;1;v New Zealand;Roseau;05-Jul-14;
MDKJ Perera (SL);10;0;15;10;1;1;100;1;v England;The Oval;20-May-14;
AB de Villiers (SA);10;0;7;8;1;0;125;1;v India;Dhaka;04-Apr-14;
MM Ali (ENG);10;0;13;10;1;0;100;2;v South Africa;Chittagong;29-Mar-14;
Anamul Haque (BDESH);10;0;14;7;2;0;142.85;2;v West Indies;Dhaka;25-Mar-14;
Yuvraj Singh (INDIA);10;0;19;19;1;0;52.63;2;v West Indies;Dhaka;23-Mar-14;
Shakib Al Hasan (BDESH);10;1;-;12;1;0;83.33;2;v Afghanistan;Dhaka;16-Mar-14;
Karim Sadiq (AFG);10;0;20;23;0;0;43.47;1;v Bangladesh;Dhaka;16-Mar-14;
AJ Finch (AUS);10;0;21;11;2;0;90.9;2;v England;Melbourne;31-Jan-14;
AD Russell (WI);10;1;10;7;1;0;142.85;1;v New Zealand;Wellington;15-Jan-14;
DJ Bravo (WI);10;0;15;11;1;0;90.9;2;v New Zealand;Auckland;11-Jan-14;
Shahid Afridi (PAK);10;0;28;13;1;0;76.92;1;v South Africa;Dubai (DSC);13-Nov-13;
Abdul Razzaq (PAK);10;0;21;16;1;0;62.5;1;v South Africa;Dubai (DSC);13-Nov-13;
Anwar Ali (PAK);10;1;12;7;1;0;142.85;1;v Zimbabwe;Harare;23-Aug-13;
T Maruma (ZIM);10;0;15;13;1;0;76.92;2;v Pakistan;Harare;23-Aug-13;
Mohammad Hafeez (PAK);10;0;13;7;1;0;142.85;1;v West Indies;Kingstown;28-Jul-13;
Hammad Azam (PAK);10;0;27;15;0;0;66.66;2;v West Indies;Kingstown;27-Jul-13;
MN Waller (ZIM);10;0;9;10;1;0;100;2;v Bangladesh;Bulawayo;12-May-13;
J Charles (WI);10;0;14;8;2;0;125;1;v Zimbabwe;North Sound;03-Mar-13;
BB McCullum (NZ);10;0;6;5;2;0;200;2;v England;Auckland;09-Feb-13;
Yuvraj Singh (INDIA);10;0;21;9;0;1;111.11;1;v Pakistan;Bengaluru;25-Dec-12;
SK Raina (INDIA);10;0;11;9;1;0;111.11;1;v Pakistan;Bengaluru;25-Dec-12;
J Charles (WI);10;0;14;13;2;0;76.92;1;v Australia;Colombo (RPS);05-Oct-12;
AD Mathews (SL);10;1;9;6;1;0;166.66;1;v Pakistan;Colombo (RPS);04-Oct-12;
RJ Peterson (SA);10;0;17;10;1;0;100;2;v India;Colombo (RPS);02-Oct-12;
EJG Morgan (ENG);10;0;27;15;1;0;66.66;2;v Sri Lanka;Pallekele;01-Oct-12;
BB McCullum (NZ);10;0;11;10;2;0;100;1;v England;Pallekele;29-Sep-12;
AD Russell (WI);10;1;7;5;2;0;200;1;v England;Pallekele;27-Sep-12;
KA Pollard (WI);10;0;10;8;2;0;125;1;v Australia;Colombo (RPS);22-Sep-12;
G Gambhir (INDIA);10;0;14;8;1;0;125;1;v Afghanistan;Colombo (RPS);19-Sep-12;
CR Ervine (ZIM);10;0;14;13;0;1;76.92;2;v Sri Lanka;Hambantota;18-Sep-12;
JL Ontong (SA);10;0;9;7;0;1;142.85;2;v England;Birmingham;12-Sep-12;
EJG Morgan (ENG);10;0;17;11;1;0;90.9;1;v South Africa;Chester-le-Street;08-Sep-12;
AB de Villiers (SA);10;0;5;6;2;0;166.66;2;v England;Chester-le-Street;08-Sep-12;
Nasir Jamshed (PAK);10;0;9;10;2;0;100;2;v Australia;Dubai (DSC);05-Sep-12;
LRPL Taylor (NZ);10;1;10;11;2;0;90.9;2;v West Indies;Lauderhill;30-Jun-12;
KS Williamson (NZ);10;0;13;10;0;0;100;2;v West Indies;Lauderhill;30-Jun-12;
LD Chandimal (SL);10;0;24;15;0;0;66.66;1;v Pakistan;Hambantota;01-Jun-12;
DR Smith (WI);10;0;-;10;2;0;100;1;v Australia;Gros Islet;27-Mar-12;
JA Morkel (SA);10;0;11;9;0;1;111.11;1;v New Zealand;Auckland;22-Feb-12;
Mushfiqur Rahim (BDESH);10;0;23;18;0;0;55.55;2;v Pakistan;Dhaka;29-Nov-11;
MS Wade (AUS);10;0;21;13;0;1;76.92;1;v South Africa;Johannesburg;16-Oct-11;
DA Miller (SA);10;0;17;13;1;0;76.92;2;v Australia;Johannesburg;16-Oct-11;
MN Waller (ZIM);10;0;9;10;0;1;100;1;v New Zealand;Harare;15-Oct-11;
CK Coventry (ZIM);10;0;15;13;1;0;76.92;1;v New Zealand;Harare;15-Oct-11;
Naeem Islam (BDESH);10;0;10;8;1;0;125;2;v West Indies;Dhaka;11-Oct-11;
C Kieswetter (ENG);10;0;12;9;2;0;111.11;2;v West Indies;The Oval;25-Sep-11;
CJ Chibhabha (ZIM);10;0;21;10;2;0;100;2;v Pakistan;Harare;18-Sep-11;
BRM Taylor (ZIM);10;0;17;11;1;0;90.9;2;v Pakistan;Harare;18-Sep-11;
BRM Taylor (ZIM);10;0;12;7;0;1;142.85;2;v Pakistan;Harare;16-Sep-11;
PA Patel (INDIA);10;0;19;12;2;0;83.33;1;v England;Manchester;31-Aug-11;
SR Watson (AUS);10;0;10;9;0;1;111.11;2;v Sri Lanka;Pallekele;06-Aug-11;
MS Dhoni (INDIA);10;1;19;11;0;0;90.9;1;v South Africa;Durban;09-Jan-11;
DA Miller (SA);10;0;13;8;0;1;125;2;v India;Durban;09-Jan-11;
Imran Farhat (PAK);10;0;10;8;2;0;125;1;v South Africa;Abu Dhabi;26-Oct-10;
H Masakadza (ZIM);10;0;6;7;2;0;142.85;2;v South Africa;Kimberley;10-Oct-10;
E Chigumbura (ZIM);10;0;13;8;1;0;125;1;v South Africa;Bloemfontein;08-Oct-10;
NV Ojha (INDIA);10;0;22;18;2;0;55.55;2;v Zimbabwe;Harare;13-Jun-10;
RG Sharma (INDIA);10;0;22;15;1;0;66.66;2;v Zimbabwe;Harare;12-Jun-10;
RJ Nicol (NZ);10;0;23;15;1;0;66.66;1;v Sri Lanka;Lauderhill;22-May-10;
SB Styris (NZ);10;0;14;12;0;0;83.33;1;v Sri Lanka;Lauderhill;22-May-10;
MJ Guptill (NZ);10;0;7;10;0;0;100;1;v Sri Lanka;Lauderhill;22-May-10;
DPMD Jayawardene (SL);10;0;20;9;1;0;111.11;1;v England;Gros Islet;13-May-10;
PD Collingwood (ENG);10;0;14;13;0;0;76.92;2;v Sri Lanka;Gros Islet;13-May-10;
DJ Hussey (AUS);10;1;18;9;1;0;111.11;2;v West Indies;Gros Islet;11-May-10;
Abdul Razzaq (PAK);10;0;20;9;0;1;111.11;1;v England;Bridgetown;06-May-10;
Naeem Islam (BDESH);10;1;-;9;1;0;111.11;2;v Pakistan;Gros Islet;01-May-10;
DJ Hussey (AUS);10;0;10;6;2;0;166.66;2;v New Zealand;Christchurch;28-Feb-10;
MJ Prior (ENG);10;1;10;8;1;0;125;2;v South Africa;Centurion;15-Nov-09;
EJG Morgan (ENG);10;0;11;7;2;0;142.85;2;v South Africa;Centurion;15-Nov-09;
AB de Villiers (SA);10;1;20;10;1;0;100;2;v England;Johannesburg;13-Nov-09;
SR Watson (AUS);10;0;-;14;0;0;71.42;1;v England;Manchester;30-Aug-09;
CK Kapugedera (SL);10;0;27;15;0;0;66.66;2;v Pakistan;Colombo (RPS);12-Aug-09;
GC Smith (SA);10;0;26;14;1;0;71.42;2;v Pakistan;Nottingham;18-Jun-09;
BB McCullum (NZ);10;0;11;12;2;0;83.33;2;v Sri Lanka;Nottingham;16-Jun-09;
JP Duminy (SA);10;0;20;15;0;0;66.66;1;v India;Nottingham;16-Jun-09;
GP Swann (ENG);10;1;12;9;0;0;111.11;1;v West Indies;The Oval;15-Jun-09;
JA Morkel (SA);10;0;10;8;2;0;125;1;v West Indies;The Oval;13-Jun-09;
Misbah-ul-Haq (PAK);10;0;4;8;0;1;125;2;v England;The Oval;07-Jun-09;
