Player;Runs ;NO;Min ;BF ;4s;6s;SR;INNs;Opp;Ground ;Date;
Younis Khan (PAK);46;1;54;31;5;0;148.38;2;v England;The Oval;07-Jun-09;
Mohammad Nabi (AFG);45;0;-;26;2;4;173.07;1;v Zimbabwe;Sharjah;06-Feb-18;
MJ Guptill (NZ);45;0;44;41;3;3;109.75;1;v India;Rajkot;04-Nov-17;
Umar Amin (PAK);45;0;-;37;3;1;121.62;1;v Sri Lanka;Lahore;29-Oct-17;
JT Smuts (SA);45;0;47;35;4;3;128.57;1;v England;Taunton;23-Jun-17;
TM Head (AUS);45;0;-;18;4;3;250;1;v Sri Lanka;Pallekele;06-Sep-16;
Q de Kock (SA);45;0;51;31;6;2;145.16;1;v Afghanistan;Mumbai;20-Mar-16;
EJG Morgan (ENG);45;1;64;38;3;1;118.42;1;v Pakistan;Dubai (DSC);26-Nov-15;
Shahid Afridi (PAK);45;0;30;22;1;4;204.54;2;v Sri Lanka;Colombo (RPS);01-Aug-15;
JP Duminy (SA);45;1;56;40;1;3;112.5;1;v India;Dhaka;04-Apr-14;
GJ Maxwell (AUS);45;0;28;22;5;3;204.54;1;v West Indies;Dhaka;28-Mar-14;
RS Bopara (ENG);45;0;37;29;4;1;155.17;2;v Australia;Southampton;29-Aug-13;
KA Pollard (WI);45;1;39;24;3;3;187.5;1;v Zimbabwe;North Sound;03-Mar-13;
GJ Bailey (AUS);45;0;48;36;4;0;125;2;v Sri Lanka;Melbourne;28-Jan-13;
SK Raina (INDIA);45;0;45;34;5;0;132.35;1;v South Africa;Colombo (RPS);02-Oct-12;
MEK Hussey (AUS);45;1;65;37;2;2;121.62;2;v South Africa;Colombo (RPS);30-Sep-12;
Mohammad Hafeez (PAK);45;0;65;47;6;0;95.74;2;v Bangladesh;Pallekele;25-Sep-12;
G Gambhir (INDIA);45;0;70;38;5;0;118.42;1;v England;Colombo (RPS);23-Sep-12;
Mohammad Hafeez (PAK);45;0;73;42;6;0;107.14;1;v Australia;Dubai (DSC);07-Sep-12;
Nasir Jamshed (PAK);45;0;52;36;4;1;125;1;v Australia;Dubai (DSC);07-Sep-12;
SB Styris (NZ);45;0;48;34;6;1;132.35;2;v Pakistan;Christchurch;30-Dec-10;
T Taibu (ZIM);45;1;54;40;2;0;112.5;1;v India;Harare;13-Jun-10;
LJ Wright (ENG);45;1;-;27;1;4;166.66;1;v West Indies;Providence;03-May-10;
JH Kallis (SA);45;0;50;31;6;1;145.16;1;v West Indies;The Oval;13-Jun-09;
T Taibu (ZIM);45;1;-;47;6;0;95.74;1;v Sri Lanka;King City (NW);10-Oct-08;
CA Lynn (AUS);44;0;38;33;6;1;133.33;2;v New Zealand;Sydney;03-Feb-18;
Ahmed Shehzad (PAK);44;0;42;34;6;1;129.41;1;v New Zealand;Auckland;25-Jan-18;
Soumya Sarkar (BDESH);44;0;41;27;6;1;162.96;2;v South Africa;Potchefstroom;29-Oct-17;
MN Samuels (WI);44;0;-;35;5;2;125.71;2;v Pakistan;Port of Spain;30-Mar-17;
EMDY Munaweera (SL);44;0;42;29;6;0;151.72;2;v Australia;Melbourne;17-Feb-17;
SR Watson (AUS);44;1;28;21;4;3;209.52;1;v Pakistan;Mohali;25-Mar-16;
Mohammad Shahzad (AFG);44;0;19;19;3;5;231.57;2;v South Africa;Mumbai;20-Mar-16;
SPD Smith (AUS);44;0;50;26;2;2;169.23;2;v South Africa;Cape Town;09-Mar-16;
Q de Kock (SA);44;0;34;28;8;1;157.14;1;v Australia;Johannesburg;06-Mar-16;
Sabbir Rahman (BDESH);44;0;55;32;2;2;137.5;2;v India;Dhaka;24-Feb-16;
AJ Finch (AUS);44;0;42;33;4;2;133.33;2;v India;Adelaide;26-Jan-16;
V Sibanda (ZIM);44;0;48;33;6;1;133.33;1;v Bangladesh;Khulna;20-Jan-16;
GJ Maxwell (AUS);44;0;44;32;6;1;137.5;2;v England;Cardiff;31-Aug-15;
Q de Kock (SA);44;0;44;31;4;2;141.93;1;v Bangladesh;Dhaka;07-Jul-15;
AJ Finch (AUS);44;1;-;30;8;0;146.66;2;v South Africa;Melbourne;07-Nov-14;
HDRL Thirimanne (SL);44;0;42;35;3;2;125.71;1;v West Indies;Dhaka;03-Apr-14;
Anamul Haque (BDESH);44;0;49;43;5;2;102.32;1;v India;Dhaka;28-Mar-14;
Anamul Haque (BDESH);44;1;-;33;4;3;133.33;2;v Afghanistan;Dhaka;16-Mar-14;
KC Sangakkara (SL);44;1;31;21;4;2;209.52;1;v Pakistan;Dubai (DSC);13-Dec-13;
Ahmed Shehzad (PAK);44;0;53;46;4;2;95.65;1;v West Indies;Kingstown;28-Jul-13;
MJ Guptill (NZ);44;0;58;32;3;2;137.5;2;v England;Auckland;09-Feb-13;
DPMD Jayawardene (SL);44;0;32;26;3;3;169.23;2;v New Zealand;Pallekele;27-Sep-12;
KC Sangakkara (SL);44;0;48;26;2;1;169.23;1;v Zimbabwe;Hambantota;18-Sep-12;
MJ Guptill (NZ);44;0;50;28;3;3;157.14;1;v Pakistan;Hamilton;28-Dec-10;
KC Sangakkara (SL);44;1;-;43;6;0;102.32;2;v Australia;Perth;31-Oct-10;
LRPL Taylor (NZ);44;0;44;33;0;2;133.33;1;v England;Gros Islet;10-May-10;
H Masakadza (ZIM);44;0;67;57;3;1;77.19;1;v West Indies;Port of Spain;28-Feb-10;
JP Duminy (SA);44;1;53;39;3;1;112.82;2;v Pakistan;Nottingham;18-Jun-09;
LMP Simmons (WI);44;0;50;37;5;0;118.91;2;v India;Lord's;12-Jun-09;
Salman Butt (PAK);44;0;72;41;4;1;107.31;1;v Sri Lanka;King City (NW);13-Oct-08;
AD Hales (ENG);43;0;39;17;8;1;252.94;2;v West Indies;Chester-le-Street;16-Sep-17;
Babar Azam (PAK);43;0;-;38;3;1;113.15;1;v West Indies;Port of Spain;01-Apr-17;
M Klinger (AUS);43;0;60;37;2;1;116.21;1;v Sri Lanka;Geelong;19-Feb-17;
AJ Finch (AUS);43;0;49;34;2;2;126.47;1;v Sri Lanka;Melbourne;17-Feb-17;
N Dickwella (SL);43;0;-;19;6;2;226.31;2;v South Africa;Centurion;20-Jan-17;
Shoaib Malik (PAK);43;1;36;34;4;1;126.47;2;v West Indies;Abu Dhabi;27-Sep-16;
CK Kapugedera (SL);43;0;-;25;3;3;172;2;v Australia;Pallekele;06-Sep-16;
J Charles (WI);43;0;26;25;5;2;172;1;v India;Lauderhill;28-Aug-16;
MS Dhoni (INDIA);43;0;53;25;2;2;172;2;v West Indies;Lauderhill;27-Aug-16;
AD Russell (WI);43;1;34;20;3;4;215;2;v India;Mumbai;31-Mar-16;
RG Sharma (INDIA);43;0;29;31;3;3;138.7;1;v West Indies;Mumbai;31-Mar-16;
AJ Finch (AUS);43;0;57;34;3;2;126.47;1;v India;Mohali;27-Mar-16;
MN Samuels (WI);43;0;65;44;6;0;97.72;2;v South Africa;Nagpur;25-Mar-16;
JJ Roy (ENG);43;0;21;16;5;3;268.75;2;v South Africa;Mumbai;18-Mar-16;
Samiullah Shenwari (AFG);43;0;50;37;4;1;116.21;1;v Zimbabwe;Nagpur;12-Mar-16;
RG Sharma (INDIA);43;0;-;36;2;1;119.44;1;v Sri Lanka;Ranchi;12-Feb-16;
Sabbir Rahman (BDESH);43;1;66;30;1;3;143.33;1;v Zimbabwe;Khulna;17-Jan-16;
Soumya Sarkar (BDESH);43;0;42;33;4;3;130.3;1;v Zimbabwe;Khulna;17-Jan-16;
R Mutumbami (ZIM);43;0;47;33;1;2;130.3;1;v Afghanistan;Bulawayo;28-Oct-15;
V Kohli (INDIA);43;0;58;27;1;3;159.25;1;v South Africa;Dharamsala;02-Oct-15;
H Masakadza (ZIM);43;0;36;27;7;1;159.25;1;v Pakistan;Lahore;22-May-15;
AD Mathews (SL);43;0;50;32;3;1;134.37;1;v South Africa;Chittagong;22-Mar-14;
CH Gayle (WI);43;0;47;35;5;2;122.85;1;v England;Bridgetown;09-Mar-14;
Q de Kock (SA);43;0;45;33;8;0;130.3;1;v Pakistan;Johannesburg;20-Nov-13;
MJ Lumb (ENG);43;0;47;27;6;1;159.25;1;v Australia;Chester-le-Street;31-Aug-13;
Tamim Iqbal (BDESH);43;0;45;30;6;1;143.33;1;v Zimbabwe;Bulawayo;12-May-13;
Mohammad Ashraful (BDESH);43;0;40;27;4;2;159.25;2;v Sri Lanka;Pallekele;31-Mar-13;
G Gambhir (INDIA);43;0;56;41;2;1;104.87;1;v Pakistan;Bengaluru;25-Dec-12;
Umar Akmal (PAK);43;1;66;41;4;1;104.87;2;v South Africa;Colombo (RPS);28-Sep-12;
Mohammad Hafeez (PAK);43;0;60;38;2;2;113.15;1;v New Zealand;Pallekele;23-Sep-12;
BMAJ Mendis (SL);43;1;41;30;4;1;143.33;1;v Zimbabwe;Hambantota;18-Sep-12;
Kamran Akmal (PAK);43;1;38;26;6;0;165.38;1;v Australia;Dubai (DSC);07-Sep-12;
KC Sangakkara (SL);43;1;52;39;5;0;110.25;2;v England;Bristol;25-Jun-11;
S Badrinath (INDIA);43;0;47;37;5;0;116.21;1;v West Indies;Port of Spain;04-Jun-11;
EJG Morgan (ENG);43;0;40;33;5;1;130.3;2;v Australia;Adelaide;12-Jan-11;
CL White (AUS);43;0;31;31;0;5;138.7;2;v Pakistan;Gros Islet;14-May-10;
JEC Franklin (NZ);43;0;49;42;2;2;102.38;1;v Australia;Wellington;26-Feb-10;
KP Pietersen (ENG);43;1;77;43;3;0;100;2;v Pakistan;Dubai (DSC);19-Feb-10;
SB Styris (NZ);43;0;42;33;2;2;130.3;2;v Pakistan;Dubai (DSC);13-Nov-09;
MJ Guptill (NZ);43;0;45;34;4;1;126.47;2;v Sri Lanka;Nottingham;16-Jun-09;
Shoaib Malik (PAK);42;1;-;31;4;0;135.48;2;v Sri Lanka;Abu Dhabi;26-Oct-17;
AJ Finch (AUS);42;0;40;30;4;1;140;1;v India;Ranchi;07-Oct-17;
JE Root (ENG);42;0;60;37;4;2;113.51;2;v India;Bengaluru;01-Feb-17;
Soumya Sarkar (BDESH);42;0;35;28;6;0;150;2;v New Zealand;Mount Maunganui;08-Jan-17;
MN Samuels (WI);42;1;74;59;3;0;71.18;1;v Pakistan;Abu Dhabi;27-Sep-16;
KS Williamson (NZ);42;0;43;32;5;1;131.25;1;v Bangladesh;Kolkata;26-Mar-16;
JJ Roy (ENG);42;0;49;39;3;2;107.69;1;v Sri Lanka;Delhi;26-Mar-16;
SR Watson (AUS);42;0;36;27;2;3;155.55;2;v South Africa;Cape Town;09-Mar-16;
S Dhawan (INDIA);42;0;46;32;3;2;131.25;1;v Australia;Melbourne;29-Jan-16;
MJ Guptill (NZ);42;0;25;19;6;2;221.05;1;v Pakistan;Wellington;22-Jan-16;
Usman Ghani (AFG);42;0;-;38;5;1;110.52;1;v Zimbabwe;Sharjah;08-Jan-16;
TAM Siriwardana (SL);42;0;52;31;2;2;135.48;2;v New Zealand;Mount Maunganui;07-Jan-16;
MJ Guptill (NZ);42;0;54;37;5;0;113.51;1;v South Africa;Durban;14-Aug-15;
KS Williamson (NZ);42;0;34;21;8;0;200;1;v South Africa;Durban;14-Aug-15;
CR Ervine (ZIM);42;0;78;46;4;0;91.3;2;v New Zealand;Harare;09-Aug-15;
RV Uthappa (INDIA);42;0;-;25;9;0;168;2;v Zimbabwe;Harare;19-Jul-15;
RR Hendricks (SA);42;0;49;32;5;1;131.25;1;v West Indies;Durban;14-Jan-15;
DJG Sammy (WI);42;1;28;20;5;2;210;1;v Pakistan;Dhaka;01-Apr-14;
KS Williamson (NZ);42;0;69;43;6;0;97.67;2;v Sri Lanka;Chittagong;31-Mar-14;
RS Bopara (ENG);42;0;35;24;5;1;175;2;v West Indies;Bridgetown;09-Mar-14;
Mohammad Hafeez (PAK);42;1;-;37;2;1;113.51;2;v Afghanistan;Sharjah;08-Dec-13;
LJ Wright (ENG);42;0;16;20;3;4;210;1;v New Zealand;Auckland;09-Feb-13;
AM Rahane (INDIA);42;0;43;31;5;1;135.48;1;v Pakistan;Bengaluru;25-Dec-12;
AD Hales (ENG);42;0;74;33;4;1;127.27;2;v India;Mumbai;22-Dec-12;
DPMD Jayawardene (SL);42;0;38;36;7;0;116.66;1;v Pakistan;Colombo (RPS);04-Oct-12;
Mohammad Hafeez (PAK);42;0;63;40;4;1;105;2;v Sri Lanka;Colombo (RPS);04-Oct-12;
DPMD Jayawardene (SL);42;0;42;38;5;1;110.52;1;v England;Pallekele;01-Oct-12;
GJ Bailey (AUS);42;0;46;27;4;2;155.55;2;v Pakistan;Dubai (DSC);07-Sep-12;
DJ Hussey (AUS);42;0;42;30;1;3;140;1;v India;Sydney;01-Feb-12;
DM Bravo (WI);42;0;42;33;4;2;127.27;1;v Pakistan;Gros Islet;21-Apr-11;
KP Pietersen (ENG);42;1;33;26;3;2;161.53;2;v Sri Lanka;Gros Islet;13-May-10;
BJ Haddin (AUS);42;0;46;46;5;0;91.3;2;v West Indies;Gros Islet;11-May-10;
JD Ryder (NZ);42;0;36;27;3;2;155.55;2;v Sri Lanka;Providence;30-Apr-10;
Shoaib Malik (PAK);42;1;-;33;5;0;127.27;2;v Sri Lanka;King City (NW);11-Oct-08;
KP Pietersen (ENG);42;1;43;41;5;0;102.43;2;v New Zealand;Manchester;13-Jun-08;
Nazimuddin (BDESH);42;0;66;48;0;3;87.5;2;v Pakistan;Karachi;20-Apr-08;
Sarfraz Ahmed (PAK);41;0;35;24;2;3;170.83;1;v New Zealand;Auckland;25-Jan-18;
Babar Azam (PAK);41;0;68;41;1;1;100;1;v New Zealand;Wellington;22-Jan-18;
RR Hendricks (SA);41;0;54;34;4;0;120.58;1;v Sri Lanka;Cape Town;25-Jan-17;
Shakib Al Hasan (BDESH);41;0;43;34;4;0;120.58;2;v New Zealand;Mount Maunganui;08-Jan-17;
C de Grandhomme (NZ);41;1;35;22;3;3;186.36;2;v Bangladesh;Napier;03-Jan-17;
MM Ali (ENG);41;1;50;33;4;1;124.24;1;v Afghanistan;Delhi;23-Mar-16;
F du Plessis (SA);41;0;30;27;7;1;151.85;1;v Afghanistan;Mumbai;20-Mar-16;
V Kohli (INDIA);41;1;62;28;5;0;146.42;2;v Bangladesh;Dhaka;06-Mar-16;
Shoaib Malik (PAK);41;0;35;30;5;1;136.66;1;v Bangladesh;Dhaka;02-Mar-16;
SK Raina (INDIA);41;0;63;34;3;1;120.58;1;v Australia;Adelaide;26-Jan-16;
Sarfraz Ahmed (PAK);41;0;52;36;5;0;113.88;2;v New Zealand;Wellington;22-Jan-16;
JM Vince (ENG);41;0;47;36;6;1;113.88;1;v Pakistan;Dubai (DSC);26-Nov-15;
MN Samuels (WI);41;0;47;32;5;1;128.12;2;v South Africa;Cape Town;09-Jan-15;
CL White (AUS);41;1;-;31;4;1;132.25;2;v South Africa;Sydney;09-Nov-14;
JP Faulkner (AUS);41;1;44;33;1;1;124.24;1;v South Africa;Adelaide;05-Nov-14;
HM Amla (SA);41;0;56;40;2;0;102.5;1;v New Zealand;Chittagong;24-Mar-14;
Q de Kock (SA);41;0;62;40;2;2;102.5;1;v Australia;Centurion;14-Mar-14;
Q de Kock (SA);41;1;37;20;2;4;205;1;v Australia;Durban;12-Mar-14;
CL White (AUS);41;0;65;37;4;1;110.81;1;v England;Sydney;02-Feb-14;
H Masakadza (ZIM);41;0;50;32;4;1;128.12;2;v Pakistan;Harare;24-Aug-13;
LMP Simmons (WI);41;0;52;39;1;2;105.12;1;v Zimbabwe;North Sound;03-Mar-13;
Nasir Jamshed (PAK);41;0;38;32;4;1;128.12;2;v India;Ahmedabad;28-Dec-12;
DM Bravo (WI);41;0;36;28;5;2;146.42;1;v Bangladesh;Dhaka;10-Dec-12;
SR Watson (AUS);41;1;43;24;2;3;170.83;2;v West Indies;Colombo (RPS);22-Sep-12;
JP Duminy (SA);41;0;50;37;3;0;110.81;1;v New Zealand;Wellington;17-Feb-12;
Mushfiqur Rahim (BDESH);41;1;47;26;1;2;157.69;2;v West Indies;Dhaka;11-Oct-11;
KP Pietersen (ENG);41;0;49;27;3;2;151.85;1;v Sri Lanka;Bristol;25-Jun-11;
DM Bravo (WI);41;0;47;41;5;0;100;2;v India;Port of Spain;04-Jun-11;
Umar Akmal (PAK);41;0;60;41;4;0;100;2;v West Indies;Gros Islet;21-Apr-11;
SK Raina (INDIA);41;0;29;23;2;3;178.26;1;v South Africa;Durban;09-Jan-11;
TM Dilshan (SL);41;0;-;34;6;0;120.58;2;v Australia;Perth;31-Oct-10;
JP Duminy (SA);41;0;54;46;5;0;89.13;2;v Pakistan;Abu Dhabi;26-Oct-10;
DA Warner (AUS);41;0;50;31;6;0;132.25;2;v Pakistan;Birmingham;05-Jul-10;
G Gambhir (INDIA);41;0;52;32;3;0;128.12;1;v Sri Lanka;Gros Islet;11-May-10;
C Kieswetter (ENG);41;0;54;42;3;2;97.61;1;v South Africa;Bridgetown;08-May-10;
Misbah-ul-Haq (PAK);41;0;43;31;1;2;132.25;2;v Australia;Gros Islet;02-May-10;
GC Smith (SA);41;0;38;23;3;4;178.26;2;v England;Johannesburg;13-Nov-09;
DPMD Jayawardene (SL);41;0;43;30;5;1;136.66;2;v New Zealand;Colombo (RPS);04-Sep-09;
DPMD Jayawardene (SL);41;1;35;29;6;1;141.37;1;v New Zealand;Nottingham;16-Jun-09;
Yuvraj Singh (INDIA);41;0;12;18;3;4;227.77;1;v Bangladesh;Nottingham;06-Jun-09;
Junaid Siddique (BDESH);41;0;37;22;2;3;186.36;2;v India;Nottingham;06-Jun-09;
MJ Guptill (NZ);41;0;26;28;4;3;146.42;2;v India;Christchurch;25-Feb-09;
DJ Hussey (AUS);41;0;51;39;1;1;105.12;1;v New Zealand;Sydney;15-Feb-09;
Sikandar Raza (ZIM);40;0;-;26;5;1;153.84;2;v Afghanistan;Sharjah;06-Feb-18;
Mohammad Nabi (AFG);40;1;-;27;4;3;148.14;2;v Zimbabwe;Sharjah;05-Feb-18;
GJ Maxwell (AUS);40;1;37;24;5;1;166.66;2;v New Zealand;Sydney;03-Feb-18;
CH Gayle (WI);40;0;30;21;3;4;190.47;1;v England;Chester-le-Street;16-Sep-17;
SMA Priyanjan (SL);40;1;-;40;1;2;100;1;v India;Colombo (RPS);06-Sep-17;
CAK Walton (WI);40;0;-;31;2;4;129.03;1;v Pakistan;Port of Spain;02-Apr-17;
EJG Morgan (ENG);40;0;34;21;2;3;190.47;2;v India;Bengaluru;01-Feb-17;
DA Miller (SA);40;0;-;18;3;3;222.22;1;v Sri Lanka;Centurion;20-Jan-17;
Khalid Latif (PAK);40;0;57;36;3;1;111.11;1;v West Indies;Dubai (DSC);24-Sep-16;
AM Rahane (INDIA);40;0;68;35;2;0;114.28;1;v West Indies;Mumbai;31-Mar-16;
Shoaib Malik (PAK);40;1;30;20;2;2;200;2;v Australia;Mohali;25-Mar-16;
NLTC Perera (SL);40;0;54;29;5;1;137.93;1;v West Indies;Bengaluru;20-Mar-16;
Mohammad Shahzad (AFG);40;0;21;23;7;1;173.91;1;v Zimbabwe;Nagpur;12-Mar-16;
AJ Finch (AUS);40;0;32;18;2;4;222.22;1;v South Africa;Durban;04-Mar-16;
F du Plessis (SA);40;0;44;26;4;1;153.84;2;v Australia;Durban;04-Mar-16;
MN Waller (ZIM);40;0;55;27;2;3;148.14;2;v Bangladesh;Dhaka;15-Nov-15;
LD Chandimal (SL);40;1;40;19;4;2;210.52;1;v West Indies;Pallekele;09-Nov-15;
MDKJ Perera (SL);40;0;47;30;6;1;133.33;1;v West Indies;Pallekele;09-Nov-15;
SC Williams (ZIM);40;1;69;36;4;0;111.11;2;v Pakistan;Harare;29-Sep-15;
GSNFG Jayasuriya (SL);40;0;43;32;3;2;125;1;v Pakistan;Colombo (RPS);01-Aug-15;
AB de Villiers (SA);40;0;52;34;6;0;117.64;1;v Bangladesh;Dhaka;07-Jul-15;
AD Hales (ENG);40;0;39;25;3;3;160;1;v India;Birmingham;07-Sep-14;
BB McCullum (NZ);40;0;52;35;3;1;114.28;2;v West Indies;Roseau;05-Jul-14;
HDRL Thirimanne (SL);40;0;56;32;3;1;125;1;v England;The Oval;20-May-14;
AD Mathews (SL);40;0;31;23;3;2;173.91;1;v West Indies;Dhaka;03-Apr-14;
DA Warner (AUS);40;0;22;16;5;2;250;2;v South Africa;Durban;12-Mar-14;
AD Hales (ENG);40;0;59;36;1;2;111.11;1;v West Indies;Bridgetown;11-Mar-14;
ADS Fletcher (WI);40;0;57;36;3;1;111.11;1;v New Zealand;Wellington;15-Jan-14;
Shakib Al Hasan (BDESH);40;0;33;28;6;1;142.85;1;v Zimbabwe;Bulawayo;12-May-13;
BRM Taylor (ZIM);40;0;30;25;6;1;160;1;v Bangladesh;Bulawayo;11-May-13;
HD Rutherford (NZ);40;0;31;27;1;3;148.14;1;v England;Hamilton;12-Feb-13;
DJ Bravo (WI);40;0;36;34;4;2;117.64;1;v Sri Lanka;Pallekele;29-Sep-12;
V Kohli (INDIA);40;0;33;32;6;0;125;1;v England;Colombo (RPS);23-Sep-12;
MJ Guptill (NZ);40;1;54;36;2;2;111.11;2;v Zimbabwe;Harare;15-Oct-11;
JEC Franklin (NZ);40;0;52;43;2;1;93.02;1;v Pakistan;Hamilton;28-Dec-10;
CJ Chibhabha (ZIM);40;0;40;30;5;1;133.33;1;v India;Harare;12-Jun-10;
DJ Bravo (WI);40;0;65;42;1;2;95.23;2;v South Africa;North Sound;20-May-10;
EJG Morgan (ENG);40;0;41;34;4;1;117.64;2;v New Zealand;Gros Islet;10-May-10;
JA Morkel (SA);40;0;23;18;0;5;222.22;1;v New Zealand;Bridgetown;06-May-10;
RS Morton (WI);40;0;54;41;3;0;97.56;2;v Australia;Hobart;21-Feb-10;
DJ Hussey (AUS);40;1;54;31;1;2;129.03;1;v Pakistan;Melbourne;05-Feb-10;
Imran Nazir (PAK);40;0;38;28;5;1;142.85;1;v Sri Lanka;Colombo (RPS);12-Aug-09;
CL White (AUS);40;1;30;18;5;1;222.22;2;v South Africa;Brisbane;13-Jan-09;
ST Jayasuriya (SL);40;0;45;34;3;2;117.64;2;v Pakistan;King City (NW);13-Oct-08;
GJ Maxwell (AUS);39;0;33;26;3;2;150;2;v England;Melbourne;10-Feb-18;
MS Dhoni (INDIA);39;1;40;22;4;1;177.27;1;v Sri Lanka;Cuttack;20-Dec-17;
TWM Latham (NZ);39;0;54;36;3;1;108.33;2;v India;Delhi;01-Nov-17;
Mohammad Saifuddin (BDESH);39;1;43;27;3;1;144.44;2;v South Africa;Bloemfontein;26-Oct-17;
V Kohli (INDIA);39;0;-;22;7;1;177.27;1;v West Indies;Kingston;09-Jul-17;
Soumya Sarkar (BDESH);39;0;30;26;3;2;150;2;v New Zealand;Mount Maunganui;06-Jan-17;
MJ Guptill (NZ);39;0;27;27;2;4;144.44;1;v Australia;Dharamsala;18-Mar-16;
Shoaib Malik (PAK);39;0;46;30;5;0;130;1;v New Zealand;Hamilton;17-Jan-16;
RV Uthappa (INDIA);39;1;57;35;2;0;111.42;1;v Zimbabwe;Harare;17-Jul-15;
H Masakadza (ZIM);39;0;37;32;4;1;121.87;1;v Pakistan;Lahore;24-May-15;
TM Dilshan (SL);39;0;54;39;2;1;100;1;v West Indies;Dhaka;03-Apr-14;
JP Duminy (SA);39;0;45;30;3;2;130;2;v Sri Lanka;Chittagong;22-Mar-14;
AJ Finch (AUS);39;0;34;27;6;0;144.44;2;v South Africa;Centurion;14-Mar-14;
LRPL Taylor (NZ);39;0;66;41;3;0;95.12;2;v West Indies;Wellington;15-Jan-14;
Shahid Afridi (PAK);39;1;30;20;2;3;195;2;v Sri Lanka;Dubai (DSC);11-Dec-13;
KC Sangakkara (SL);39;0;47;35;4;0;111.42;2;v South Africa;Hambantota;04-Aug-13;
AD Hales (ENG);39;0;43;29;5;1;134.48;2;v New Zealand;The Oval;25-Jun-13;
Mushfiqur Rahim (BDESH);39;0;62;29;3;1;134.48;2;v Sri Lanka;Pallekele;31-Mar-13;
KC Sangakkara (SL);39;1;56;34;5;0;114.7;2;v West Indies;Pallekele;29-Sep-12;
TM Dilshan (SL);39;0;49;28;5;0;139.28;1;v Zimbabwe;Hambantota;18-Sep-12;
Shoaib Malik (PAK);39;0;37;33;4;1;118.18;1;v England;Dubai (DSC);23-Feb-12;
RS Bopara (ENG);39;0;42;32;2;1;121.87;2;v Pakistan;Dubai (DSC);23-Feb-12;
AB de Villiers (SA);39;1;47;36;4;0;108.33;2;v New Zealand;Hamilton;19-Feb-12;
SK Raina (INDIA);39;0;47;29;4;2;134.48;1;v England;Kolkata;29-Oct-11;
E Chigumbura (ZIM);39;0;24;22;4;2;177.27;2;v New Zealand;Harare;17-Oct-11;
CL White (AUS);39;0;32;26;4;1;150;1;v South Africa;Johannesburg;16-Oct-11;
CL White (AUS);39;0;49;32;1;3;121.87;2;v Sri Lanka;Pallekele;08-Aug-11;
IR Bell (ENG);39;0;34;30;3;0;130;2;v Australia;Melbourne;14-Jan-11;
LRPL Taylor (NZ);39;1;53;31;2;3;125.8;2;v Pakistan;Auckland;26-Dec-10;
C Kieswetter (ENG);39;0;36;29;5;2;134.48;2;v Sri Lanka;Gros Islet;13-May-10;
MEK Hussey (AUS);39;1;41;26;4;1;150;1;v Sri Lanka;Bridgetown;09-May-10;
JP Duminy (SA);39;0;29;25;2;2;156;2;v England;Bridgetown;08-May-10;
IJL Trott (ENG);39;0;65;51;3;0;76.47;1;v Pakistan;Dubai (DSC);20-Feb-10;
J Mubarak (SL);39;0;-;29;6;0;134.48;1;v Pakistan;King City (NW);11-Oct-08;
C de Grandhomme (NZ);38;1;36;24;1;3;158.33;1;v Australia;Sydney;03-Feb-18;
RR Pant (INDIA);38;0;-;35;2;1;108.57;1;v West Indies;Kingston;09-Jul-17;
Mohammad Nabi (AFG);38;0;-;30;2;2;126.66;1;v West Indies;Basseterre;05-Jun-17;
Shakib Al Hasan (BDESH);38;0;-;31;4;0;122.58;1;v Sri Lanka;Colombo (RPS);06-Apr-17;
Babar Azam (PAK);38;0;-;36;1;1;105.55;2;v West Indies;Port of Spain;02-Apr-17;
Shoaib Malik (PAK);38;1;-;29;3;1;131.03;2;v West Indies;Bridgetown;26-Mar-17;
M Klinger (AUS);38;0;43;32;4;0;118.75;1;v Sri Lanka;Melbourne;17-Feb-17;
JE Root (ENG);38;0;82;38;2;0;100;2;v India;Nagpur;29-Jan-17;
BA Stokes (ENG);38;0;30;27;2;2;140.74;2;v India;Nagpur;29-Jan-17;
UT Khawaja (AUS);38;0;37;27;6;0;140.74;2;v New Zealand;Dharamsala;18-Mar-16;
Sarfraz Ahmed (PAK);38;0;38;27;6;0;140.74;2;v Sri Lanka;Dhaka;04-Mar-16;
EJG Morgan (ENG);38;0;44;23;0;4;165.21;1;v South Africa;Johannesburg;21-Feb-16;
JM Vince (ENG);38;0;38;24;3;2;158.33;1;v Pakistan;Dubai (DSC);27-Nov-15;
Umar Akmal (PAK);38;1;38;28;2;1;135.71;1;v Zimbabwe;Harare;29-Sep-15;
RR Rossouw (SA);38;0;24;20;4;2;190;2;v New Zealand;Durban;14-Aug-15;
F du Plessis (SA);38;0;25;20;5;2;190;1;v West Indies;Cape Town;09-Jan-15;
KDK Vithanage (SL);38;0;29;26;7;0;146.15;1;v England;The Oval;20-May-14;
Shakib Al Hasan (BDESH);38;0;44;32;2;2;118.75;2;v Pakistan;Dhaka;30-Mar-14;
AD Hales (ENG);38;0;35;22;6;1;172.72;2;v South Africa;Chittagong;29-Mar-14;
AD Hales (ENG);38;0;54;31;4;1;122.58;1;v West Indies;Bridgetown;13-Mar-14;
Najibullah Zadran (AFG);38;0;-;30;3;2;126.66;1;v Pakistan;Sharjah;08-Dec-13;
